"id","g_indicate","k_indicate","name","color","system_type_id"
1,0,0,"Базовые кинематические ФВ","#dbdb7b",1
2,1,0,"Общие динамические ФВ","#c2c5c8",1
3,-1,0,"Гравитационная постоянная","#6d6d6d",1
4,2,0,"Общие динамические ФВ<sup>2</sup>","#9b9b9b",1
5,0,1,"Полевые ФВ<sup>-1</sup>","#a3cada",1
6,1,1,"Базовые электромагнитные ФВ","#92e892",1
7,1,2,"Структурно-средовые ФВ 1 подгруппы","#e79670",1
8,2,2,"Базовые электромагнитные ФВ<sup>2</sup>","#64a020",1
9,0,-1,"Полевые электромагнитные ФВ","#74afec",1
10,1,-1,"-","#bfd799",1
11,2,1,"-","#a2c8eb",1
12,-1,-1,"Базовые электромагнитные ФВ<sup>-1</sup>","#bccb98",1
13,0,-2,"Полевые электромагнитные ФВ<sup>2</sup>","#575bdf",1
14,-1,-2,"Структурно-средовые ФВ 2 подгруппы","#e79bde",1
15,0,0,"Базовые кинематические и структурно-средовые электромагнитные ФВ","#dbdb7b",2
16,1,0,"Общие базовые динамические ФВ","#c2c5c8",2
17,1/2,0,"Базовые и полевые электромагнитные ФВ<sup>2</sup>","#92e892",2
18,-1,0,"Гравитационная постоянная","#6d6d6d",2
