"id_lt","l_indicate","t_indicate"
1,-2,12
2,-1,11
3,0,10
4,1,9
5,2,8
6,3,7
7,4,6
8,5,5
9,6,4
10,7,3
11,8,2
12,9,1
13,10,0
14,11,-1
15,12,-2
16,13,-3
17,14,-4
18,15,-5
19,16,-6
20,17,-7
21,-2,11
22,-1,10
23,0,9
24,1,8
25,2,7
26,3,6
27,4,5
28,5,4
29,6,3
30,7,2
31,8,1
32,9,0
33,10,-1
34,11,-2
35,12,-3
36,13,-4
37,14,-5
38,15,-6
39,16,-7
40,-3,11
41,-2,10
42,-1,9
43,0,8
44,1,7
45,2,6
46,3,5
47,4,4
48,5,3
49,6,2
50,7,1
51,8,0
52,9,-1
53,10,-2
54,11,-3
55,12,-4
56,13,-5
57,14,-6
58,15,-7
59,16,-8
60,-3,10
61,-2,9
62,-1,8
63,0,7
64,1,6
65,2,5
66,3,4
67,4,3
68,5,2
69,6,1
70,7,0
71,8,-1
72,9,-2
73,10,-3
74,11,-4
75,12,-5
76,13,-6
77,14,-7
78,15,-8
79,-4,10
80,-3,9
81,-2,8
82,-1,7
83,0,6
84,1,5
85,2,4
86,3,3
87,4,2
88,5,1
89,6,0
90,7,-1
91,8,-2
92,9,-3
93,10,-4
94,11,-5
95,12,-6
96,13,-7
97,14,-8
98,15,-9
99,-4,9
100,-3,8
101,-2,7
102,-1,6
103,0,5
104,1,4
105,2,3
106,3,2
107,4,1
108,5,0
109,6,-1
110,7,-2
111,8,-3
112,9,-4
113,10,-5
114,11,-6
115,12,-7
116,13,-8
117,14,-9
118,-5,9
119,-4,8
120,-3,7
121,-2,6
122,-1,5
123,0,4
124,1,3
125,2,2
126,3,1
127,4,0
128,5,-1
129,6,-2
130,7,-3
131,8,-4
132,9,-5
133,10,-6
134,11,-7
135,12,-8
136,13,-9
137,14,-10
138,-5,8
139,-4,7
140,-3,6
141,-2,5
142,-1,4
143,0,3
144,1,2
145,2,1
146,3,0
147,4,-1
148,5,-2
149,6,-3
150,7,-4
151,8,-5
152,9,-6
153,10,-7
154,11,-8
155,12,-9
156,13,-10
157,-6,8
158,-5,7
159,-4,6
160,-3,5
161,-2,4
162,-1,3
163,0,2
164,1,1
165,2,0
166,3,-1
167,4,-2
168,5,-3
169,6,-4
170,7,-5
171,8,-6
172,9,-7
173,10,-8
174,11,-9
175,12,-10
176,13,-11
177,-6,7
178,-5,6
179,-4,5
180,-3,4
181,-2,3
182,-1,2
183,0,1
184,1,0
185,2,-1
186,3,-2
187,4,-3
188,5,-4
189,6,-5
190,7,-6
191,8,-7
192,9,-8
193,10,-9
194,11,-10
195,12,-11
196,-7,7
197,-6,6
198,-5,5
199,-4,4
200,-3,3
201,-2,2
