"id","symbol","name","unit","m_indicate_auto","l_indicate_auto","t_indicate_auto","i_indicate_auto","lt_id","gk_id","system_type_id"
1,"q<sup>2</sup>","(Электр. заряд)<sup>2</sup>","Кл<sup>2</sup>","0","0","2","2",129,8,1
2,"(Il)<sup>2</sup>","(Элемент тока)<sup>2</sup>","А<sup>2</sup>*м<sup>2</sup>","0","2","0","2",131,8,1
3,"С","Емкость","Ф","-1","-2","4","2",144,7,1
4,"grad R<sup>-1</sup>","(Градиент эл. сопротивл.)<sup>-1</sup>","","-1","-1","3","2",145,7,1
5,"V","Объем","м<sup>3</sup>","0","3","0","0",146,1,1
6,"ql","Электр. дип. момент","Кл*м","0","1","1","1",147,6,1
7,"Vv","Движение объёма","м<sup>3</sup>/с","0","4","-1","0",147,1,1
8,"IS","Магн. дип. момент","А*\м<sup>2</sup>","0","2","0","1",148,6,1
9,"mr<sup>2</sup>","Момент инерции","кг*м<sup>2</sup>","1","2","0","0",148,2,1
10,"PS","Поток импульса","кг*м<sup>3</sup>/с","1","3","-1","0",149,2,1
11,"WS","Поток энергии","Вт*м<sup>2</sup>","1","4","-2","0",150,2,1
12,"εε<sub>0</sub>","Электрич. прониц.","Ф/м","-1","-3","4","2",163,7,1
13,"t<sup>2</sup>","Время<sup>2</sup>","с<sup>2</sup>","0","0","2","0",163,1,1
14,"R<sup>-1</sup>","Проводимость","См","-1","-2","3","2",164,7,1
15,"S","Площадь","м<sup>2</sup>","0","2","0","0",165,1,1
16,"(μμ<sub>0</sub>)<sup>-1</sup>","(Магн. прониц.)<sup>-1</sup>","м/Гн","-1","-1","2","2",165,7,1
17,"q","Электр. заряд","Кл","0","0","1","1",166,6,1
18,"dV/dt","Изменение объёма","м<sup>3</sup>/с","0","3","-1","0",166,1,1
19,"Il","Элемент тока","А*м","0","1","0","1",167,6,1
20,"mr","Локализация массы","кг*м","1","1","0","0",167,2,1
21,"Va","Ускорение объёма","м<sup>4</sup>/с<sup>2</sup>","0","4","-2","0",167,1,1
22,"L","Момент импульса","кг*м<sup>2</sup>/c","1","2","-1","0",168,2,1
23,"FS","Силовой поток","Н*м<sup>2</sup>","1","3","-2","0",169,2,1
24,"m<sup>2</sup>","Масса<sup>2</sup>","кг<sup>2</sup>","2","0","0","0",169,4,1
25,"I<sup>2</sup>","(Сила тока)<sup>2</sup>","A<sup>2</sup>","0","0","0","2",169,8,1
26,"a<sup>-1</sup>","Ускорение<sup>-1</sup>","с<sup>2</sup>/м","0","-1","2","0",182,1,1
27,"L<sub>гр</sub>","Гравит. индуктивн.","м<sup>2</sup>/кг","-1","2","0","0",182,3,1
28,"t","Время","с","0","0","1","0",183,1,1
29,"σ","Удельная проводимость","(Ом*м)<sup>-1</sup>","-1","-3","3","2",183,7,1
30,"l","Длина","м","0","1","0","0",184,1,1
31,"C<sub>гр</sub>","Гравит. емкость","кг*с<sup>2</sup>/м<sup>2</sup>","1","-2","2","0",184,2,1
32,"L<sup>-1</sup>","Индуктивн.<sup>-1</sup>","Гн<sup>-1</sup>","-1","-2","2","2",184,7,1
33,"γ","Вязкость кинематич.","м<sup>2</sup>/с","0","2","-1","0",185,1,1
34,"q/l","Пов. плотн. эл. дип. момента","Кл/м","0","-1","1","1",185,6,1
35,"m","Масса","кг","1","0","0","0",186,2,1
36,"I","Сила тока","А","0","0","0","1",186,6,1
37,"m<sub>Гр</sub>","Гравит. масса","м<sup>3</sup>/с<sup>2</sup>","0","3","-2","0",186,1,1
38,"Р","Импульс","кг*м/с","1","1","-1","0",187,2,1
39,"qa","Ускорение заряда","Кл*м/с<sup>2</sup>","0","1","-1","1",187,6,1
40,"W","Энергия","Дж","1","2","-2","0",188,2,1
41,"v<sup>-2</sup>","Скорость<sup>-2</sup>","с<sup>2</sup>/м<sup>2</sup>","0","-2","2","0",201,1,1
42,"(μ<sub>0</sub>)<sub>гр</sub>","Гравит. μ<sub>0</sub>","м/кг","-1","1","0","0",201,3,1
43,"v<sup>-1</sup>","Скорость<sup>-1</sup>","с/м","0","-1","1","0",202,1,1
44,"R<sub>гр</sub>","Гравит. сопротивл.","м<sup>2</sup>/(кг*с)","-1","2","-1","0",202,3,1
45,"1","Безразмерная постоянная","","0","0","0","0",203,1,1
46,"G","Гравит. постоянная","Н*м<sup>2</sup>/кг<sup>2</sup>","-1","3","-2","0",203,3,1
47,"G<sup>-1</sup>","(Гравит. постоянная)<sup>-1</sup>","м<sup>3</sup>*с<sup>-2</sup>/кг","1","-3","2","0",203,2,1
48,"L<sub>k</sub>","Удельн. кин. индукт.","","1","3","-2","-2",203,14,1
49,"","Вихрь проводимости","","-1","-3","2","2",203,7,1
50,"v","Скорость","м/с","0","1","-1","0",204,1,1
51,"P","Поляризованн.","Кл/м<sup>2</sup>","0","-2","1","1",204,6,1
52,"","Гравит. проводимость","","1","-2","1","0",204,2,1
53,"Ф","Магн. поток","Вб","1","2","-2","-1",205,9,1
54,"v<sup>2</sup>","Скорость<sup>2</sup>","м<sup>2</sup>/с<sup>2</sup>","0","2","-2","0",205,1,1
55,"P<sup>2</sup>","Поляризованн.<sup>2</sup>","Кл<sup>2</sup>/м<sup>2</sup>","0","-4","2","2",205,8,1
56,"J(H)","Намагниченн.","А/м","0","-1","0","1",205,6,1
57,"(μ<sub>0</sub>)<sub>гр</sub><sup>-1</sup>","(Гравит. μ<sub>0</sub>)<sup>-1</sup>","кг/м","1","-1","0","0",205,2,1
58,"v<sup>3</sup>","Скорость<sup>3</sup>","м<sup>3</sup>/с<sup>3</sup>","0","3","-3","0",206,1,1
59,"∂m/∂t","Расход массы (вращение)","кг/с","1","0","-1","0",206,2,1
60,"F","Сила","Н","1","1","-2","0",207,2,1
61,"v<sup>4</sup>","Скорость<sup>4</sup>","м<sup>4</sup>/с<sup>4</sup>","0","4","-4","0",207,1,1
62,"J<sup>2</sup>","Намагниченн.<sup>2</sup>","А<sup>2</sup>/м<sup>2</sup>","0","-2","0","2",207,8,1
63,"Ф<sup>2</sup>","(Магн. поток)<sup>2</sup>","Вб<sup>2</sup>","2","4","-4","-2",207,13,1
64,"N","Мощность","Вт","1","2","-3","0",208,2,1
65,"t/S","Поверх. плотн. времени","с/м<sup>2</sup>","0","-2","1","0",221,1,1
66,"L","Индуктивность","Гн","1","2","-2","-2",222,14,1
